timestamp,payment_id,amount,country_risk_score,failed_logins,transaction_hour,is_new_device,fraud_probability
2026-02-02T18:14:46.184451,1,1800,0.47,2,10,1,0.96
2026-02-02T18:14:46.192920,2,1200,0.17,4,18,0,0.48
2026-02-02T18:14:46.201388,3,1200,0.57,5,17,0,0.74
2026-02-02T18:14:46.209199,4,900,0.54,5,18,1,0.99
2026-02-02T18:14:46.218004,5,1800,0.52,4,8,1,0.99
2026-02-02T18:14:46.225240,6,200,0.49,0,5,1,0.72
2026-02-02T18:14:46.233365,7,200,0.95,6,21,1,0.98
2026-02-02T18:14:46.240572,8,1800,0.63,4,2,1,1.0
2026-02-02T18:14:46.248452,9,900,0.48,0,4,0,0.48
2026-02-02T18:14:46.256120,10,900,0.42,4,10,1,0.92
2026-02-02T18:14:46.264879,11,2500,0.23,4,19,1,0.73
2026-02-02T18:14:46.272300,12,1200,0.63,5,17,0,0.74
2026-02-02T18:14:46.281111,13,200,0.66,4,9,0,0.73
2026-02-02T18:14:46.289605,14,2500,0.6,4,16,1,0.99
2026-02-02T18:14:46.296895,15,500,0.1,4,16,0,0.48
2026-02-02T18:14:46.305784,16,500,0.4,1,22,0,0.51
2026-02-02T18:14:46.313728,17,1800,0.71,2,11,0,0.73
2026-02-02T18:14:46.322107,18,900,0.57,1,21,1,0.96
2026-02-02T18:14:46.329747,19,2500,0.78,3,8,0,0.74
2026-02-02T18:14:46.337904,20,900,0.8,5,19,0,0.74
2026-02-02T18:14:46.345332,21,1800,0.53,6,5,0,0.75
2026-02-02T18:14:46.353621,22,1200,0.14,1,18,0,0.45
2026-02-02T18:14:46.361262,23,900,0.48,0,18,0,0.47
2026-02-02T18:14:46.368845,24,900,0.2,0,19,0,0.23
2026-02-02T18:14:46.389051,25,1200,0.12,5,9,0,0.48
2026-02-02T18:14:46.396707,26,2500,0.91,6,13,0,0.74
2026-02-02T18:14:46.404771,27,500,0.47,0,17,0,0.47
2026-02-02T18:14:46.412862,28,500,0.64,6,12,1,0.99
2026-02-02T18:14:46.421049,29,200,0.32,1,12,0,0.44
2026-02-02T18:14:46.429658,30,900,0.93,5,21,0,0.74
2026-02-02T18:14:46.437583,31,200,0.25,0,19,0,0.22
2026-02-02T18:14:46.445248,32,2500,0.29,3,13,0,0.48
2026-02-02T18:14:46.452953,33,2500,0.56,3,0,1,1.0
2026-02-02T18:14:46.460882,34,200,0.55,4,14,0,0.73
2026-02-02T18:14:46.468752,35,200,0.23,1,21,1,0.69
2026-02-02T18:14:46.476387,36,900,0.69,6,1,1,1.0
2026-02-02T18:14:46.484226,37,900,0.18,2,23,1,0.72
2026-02-02T18:14:46.492525,38,200,0.52,5,6,0,0.74
2026-02-02T18:14:46.500447,39,200,0.93,6,2,0,0.74
2026-02-02T18:14:46.509623,40,1200,0.41,0,17,0,0.42
2026-02-02T18:14:46.517418,41,1200,0.97,5,3,1,1.0
2026-02-02T18:14:46.525399,42,900,0.18,2,12,1,0.72
2026-02-02T18:14:46.533265,43,900,0.87,3,7,0,0.74
2026-02-02T18:14:46.542007,44,900,0.86,5,19,1,0.99
2026-02-02T18:14:46.550052,45,900,0.26,4,6,0,0.49
2026-02-02T18:14:46.559433,46,200,0.78,0,15,1,0.73
2026-02-02T18:14:48.203932,47,500,0.59,5,15,1,0.99
2026-02-02T18:14:51.204922,48,500,0.13,4,22,1,0.73
2026-02-02T18:14:54.202066,49,2500,0.52,0,22,0,0.49
2026-02-02T18:14:57.213784,50,500,0.2,3,23,0,0.48
2026-02-02T18:15:00.207446,51,900,0.17,6,7,0,0.48
2026-02-02T18:15:03.213690,52,200,0.41,6,3,1,0.92
2026-02-02T18:15:06.215053,53,900,0.45,4,15,1,0.93
2026-02-02T18:15:09.210648,54,1200,0.88,5,9,0,0.74
2026-02-02T18:15:12.214228,55,1200,0.2,3,9,0,0.48
2026-02-02T18:15:51.627002,55,1200,0.2,3,9,0,0.48
2026-02-02T18:15:51.634993,56,1200,0.12,5,18,0,0.48
2026-02-02T18:15:51.643516,57,1200,0.1,3,9,1,0.73
2026-02-02T18:15:51.651603,58,200,0.56,3,21,0,0.73
2026-02-02T18:15:51.659874,59,1200,0.61,1,23,1,0.96
2026-02-02T18:15:51.667607,60,1200,0.56,2,8,0,0.73
2026-02-02T18:15:51.677434,1,900,0.68,1,20,0,0.71
2026-02-02T18:15:51.685488,61,500,0.15,0,3,0,0.24
2026-02-02T18:15:51.694446,2,1800,0.98,1,18,1,0.96
2026-02-02T18:15:51.703130,62,900,0.36,3,21,0,0.51
2026-02-02T18:15:51.711613,3,200,0.32,6,3,1,0.73
2026-02-02T18:15:51.720500,63,1200,0.19,6,6,0,0.49
2026-02-02T18:15:51.728168,4,1200,0.63,1,18,0,0.71
2026-02-02T18:15:51.735643,5,200,0.82,0,6,0,0.49
2026-02-02T18:15:51.743472,6,2500,0.28,0,15,1,0.48
2026-02-02T18:15:51.753289,7,900,0.16,0,4,0,0.24
2026-02-02T18:15:51.760987,8,2500,0.7,5,1,1,1.0
2026-02-02T18:15:52.260217,9,1200,0.71,4,6,0,0.75
2026-02-02T18:15:55.268715,10,1800,0.87,5,11,0,0.74
2026-02-02T18:15:58.265537,11,900,0.12,5,4,0,0.49
2026-02-02T18:16:01.266550,12,2500,0.58,3,19,1,0.99
2026-02-02T18:16:04.265393,13,900,0.15,4,8,1,0.73
2026-02-02T18:16:07.267541,14,500,0.39,3,11,0,0.54
2026-02-02T18:16:10.282049,15,1200,0.52,2,14,1,0.98
2026-02-02T18:16:13.274602,16,200,0.92,3,8,1,0.98
2026-02-02T18:16:16.271509,17,1800,0.4,4,3,1,0.8
